year,agency_code,asm_option,k2_feeder,subgroup,aaa_score,aaa_score_masking,awa_score,awa_score_masking,cgrs_score,cgrs_score_masking,elp_score,elp_score_masking,mcr_score,mcr_score_masking,scgs_score,scgs_score_masking,bi_score,bi_score_masking,ach_score,eg_status,eg_score,spg_score,spg_score_masking,spg_grade,spg_grade_masking,mags_score,mags_score_masking,ma_eg_status,ma_eg_score,ma_spg_score,ma_spg_grade,rdgs_score,rdgs_score_masking,rd_eg_status,rd_eg_score,rd_spg_score,rd_spg_grade,agency_level,designation_Type,name,category_code,lea_code,county,street_addr,street_addr2,city,state,zip,phone,grade_span,school_type,calendar_type,url,super_name,title_i,residing_district,esea,stem,purple_star
2025,00A000,N,N,ALL,44.8,,40.5,,60.7,,19,,93.5,,48.3,,43.1,,48.9,NotMet,57,51,,D,,36.5,,NotMet,51.8,40,D,50.5,,Met,81.8,57,C,SCH,C,North Carolina Cyber Academy,A,CH,Durham,2800 Meridian Parkway,S,Durham,NC,27713,984-262-9237,0K:12,Regular School,Traditional,http://www.myncca.com,Mr Martez Hill,Y,NC-SEA,,,
2025,00A000,N,N,AS7,83.5,,,,,,,,,,,,,,83.5,,,84,,B,,,,,,,,,,,,,,SCH,C,North Carolina Cyber Academy,A,CH,Durham,2800 Meridian Parkway,S,Durham,NC,27713,984-262-9237,0K:12,Regular School,Traditional,http://www.myncca.com,Mr Martez Hill,Y,NC-SEA,,,
2025,00A000,N,N,BL7,39.7,,32.3,,55.6,,,,88.6,,35.1,,35.2,,41.9,Met,74.7,48,,D,,,,,,,,,,,,,,SCH,C,North Carolina Cyber Academy,A,CH,Durham,2800 Meridian Parkway,S,Durham,NC,27713,984-262-9237,0K:12,Regular School,Traditional,http://www.myncca.com,Mr Martez Hill,Y,NC-SEA,,,
2025,00A000,N,N,EDS,37.4,,33.6,,60.1,,16.2,,90.1,,38.8,,42.4,,42.2,NotMet,58.2,45,,D,,,,,,,,,,,,,,SCH,C,North Carolina Cyber Academy,A,CH,Durham,2800 Meridian Parkway,S,Durham,NC,27713,984-262-9237,0K:12,Regular School,Traditional,http://www.myncca.com,Mr Martez Hill,Y,NC-SEA,,,
2025,00A000,N,N,ELS,27.6,,,,,,19,,,,,,,,25.2,,,25,,F,,,,,,,,,,,,,,SCH,C,North Carolina Cyber Academy,A,CH,Durham,2800 Meridian Parkway,S,Durham,NC,27713,984-262-9237,0K:12,Regular School,Traditional,http://www.myncca.com,Mr Martez Hill,Y,NC-SEA,,,
2025,00A000,N,N,HI7,42.6,,,,56.6,,20,,95,1,46.8,,42.5,,45.9,Met,73.8,51,,D,,,,,,,,,,,,,,SCH,C,North Carolina Cyber Academy,A,CH,Durham,2800 Meridian Parkway,S,Durham,NC,27713,984-262-9237,0K:12,Regular School,Traditional,http://www.myncca.com,Mr Martez Hill,Y,NC-SEA,,,
2025,00A000,N,N,MU7,42.2,,,,65.2,,,,91.4,,50,,,,51.2,Met,76.1,56,,C,,,,,,,,,,,,,,SCH,C,North Carolina Cyber Academy,A,CH,Durham,2800 Meridian Parkway,S,Durham,NC,27713,984-262-9237,0K:12,Regular School,Traditional,http://www.myncca.com,Mr Martez Hill,Y,NC-SEA,,,
2025,00A000,N,N,SWD,22.6,,,,47.9,,,,59.4,,33.3,,20.9,,28.3,Met,75.8,38,,F,,,,,,,,,,,,,,SCH,C,North Carolina Cyber Academy,A,CH,Durham,2800 Meridian Parkway,S,Durham,NC,27713,984-262-9237,0K:12,Regular School,Traditional,http://www.myncca.com,Mr Martez Hill,Y,NC-SEA,,,
2025,00A000,N,N,WH7,46.9,,41.2,,62.1,,,,94.4,,54.4,,48.3,,52.3,NotMet,55.4,53,,D,,,,,,,,,,,,,,SCH,C,North Carolina Cyber Academy,A,CH,Durham,2800 Meridian Parkway,S,Durham,NC,27713,984-262-9237,0K:12,Regular School,Traditional,http://www.myncca.com,Mr Martez Hill,Y,NC-SEA,,,
2025,00B000,N,N,ALL,43.9,,43.9,,79.4,,27.9,,94.8,,52.9,,44.5,,47.7,NotMet,50.8,48,,D,,37,,NotMet,56.5,41,D,50.2,,NotMet,56.8,52,D,SCH,C,NC Virtual Academy,A,CH,Durham,4220 NC Highway 55,S,Durham,NC,27713,919-346-121,0K:12,Regular School,Traditional,http://ncva.k12.com/,Kristina Rodrigues,Y,NC-SEA,,,
2025,00B000,N,N,AS7,64.8,,,,,,,,,,,,,,64.8,,,65,,C,,,,,,,,,,,,,,SCH,C,NC Virtual Academy,A,CH,Durham,4220 NC Highway 55,S,Durham,NC,27713,919-346-121,0K:12,Regular School,Traditional,http://ncva.k12.com/,Kristina Rodrigues,Y,NC-SEA,,,
2025,00B000,N,N,BL7,36.1,,36.7,,81.3,,,,94.3,,44.5,,27.6,,39.4,NotMet,66.8,45,,D,,,,,,,,,,,,,,SCH,C,NC Virtual Academy,A,CH,Durham,4220 NC Highway 55,S,Durham,NC,27713,919-346-121,0K:12,Regular School,Traditional,http://ncva.k12.com/,Kristina Rodrigues,Y,NC-SEA,,,
2025,00B000,N,N,EDS,37.3,,38,,81,,26.5,,94,,47.5,,37.4,,41.2,NotMet,51.8,43,,D,,,,,,,,,,,,,,SCH,C,NC Virtual Academy,A,CH,Durham,4220 NC Highway 55,S,Durham,NC,27713,919-346-121,0K:12,Regular School,Traditional,http://ncva.k12.com/,Kristina Rodrigues,Y,NC-SEA,,,
